"_EMAIL_NOTIFY_POST_PAGEREVIEW_BODY"; "<a href='http://[host][sender_link]'>[sender_title]</a> has reviewed your page - <a href='http://[host][object_parent_link]'>[object_parent_title]</a>. To read the review, please click the following link:
<a href='http://[host][object_link]'>[object_title]</a>"

"rate_%s review";"%s review";"%s reviews"
"RATE_REVIEW_SETTINGS"; "Page Review Settings"
"RATE_REVIEW_TEAM_REMOVE_TITLE"; "Allow page team members to remove reviews?"
"RATE_REVIEW_TEAM_REMOVE_DESCRIPTION"; "This setting related to Reviews add-on of Pages plugin. Enable it if you would like to allow page administrators to delete reviews of the page."
"RATE_REVIEW_FAQ"; "Reviews is a special our add-on for Rates plugin which provides Reviews feature for your Business Pages if you have Pages plugin installed.<br />
<a href='http://www.hire-experts.com/social-engine/pages-se4-plugin' target='_blank'>Pages plugin</a> allows you to create business, public figures and brands pages like on Facebook. So Rates plugin shows reviews tab and options to post reviews for a Page.<br /><br />
Here you can edit Review options, for example - Food, Service, Price review options for a restaurant page."
"ACTIVITY_TYPE_POST_PAGEREVIEW";"When people post review on my Page"
"ACTIVITY_TYPE_RATED";"When people rate my content"
"pagereview"; "review"
"RATE_REVIEW_Add review";"Add review"
"ADMIN_ACTIVITY_TYPE_PAGEREVIEW_NEW";"When someone posts new Page Review"

"Most Rated Articles";"Most Rated Articles"
"Articles. Browse Articles";"Articles. Browse Articles"
"Articles. My Articles";"Articles. My Articles"
"RATE_or search red-highlighted text via editor";"or search red-highlighted text via editor"
"FAQ";"FAQ"
"Enable";"Enable"
"rate_user_period_enabled";"Show Users rates by periods(week, month and all time)"
"rate_group_period_enabled";"Show Groups rates by periods(week, month and all time)"
"rate_event_period_enabled";"Show Events rates by periods(week, month and all time)"
"rate_page_period_enabled";"Show Pages rates by periods(week, month and all time)"
"rate_album_photo_period_enabled";"Show Album Photos rates by periods(week, month and all time)"
"rate_blog_period_enabled";"Show Blogs rates by periods(week, month and all time)"
"rate_article_enabled";"Allow to rate articles"
"rate_article_period_enabled";"Show Articles rates by periods(week, month and all time)"
"rate_quiz_period_enabled";"Show Quizzes rates by periods(week, month and all time)"
"rate_store_product_enabled";"Allow to rate products"
"rate_store_product_period_enabled";"Show Products rates by periods(week, month and all time)"
"store_product Min Votes";"Minimum votes count to be listed"
"store_product Max Items";"Products number in widget"
"rate_own_store_product_enabled";"Allow member to rate own product"
"rate_own_article_enabled";"Allow member to rate own article"
"rate_own_page_enabled";"Allow member to rate own page"
"rate_own_blog_enabled";"Allow member to rate own blog"
"rate_own_album_photo_enabled";"Allow member to rate own album photo"
"rate_own_quiz_enabled";"Allow member to rate own quiz"
"rate_own_event_enabled";"Allow member to rate own event"
"rate_own_group_enabled";"Allow member to rate own group"
"rate_own_user_enabled";"Allow member to rate own user"

"Article Min Votes";"Article Min Votes"
"Article Max Items";"Article Max Items"
"Article Settings";"Article Settings"
"store_product Settings";"Product Settings"
"Ratings";"Ratings"
"RATE_There are no content.";"There are no content."
"RATE_Overall";"Overall"
"RATE_This Month";"This Month"
"RATE_This Week";"This Week"
"Most Rated Blogs";"Most Rated Blogs"
"Most Rated Events";"Most Rated Events"
"Most Rated Groups";"Most Rated Groups"
"Most Rated Members";"Most Rated Members"
"Most Reviewed Pages";"Most Reviewed Pages"
"Most Reviewed Stores";"Most Reviewed Stores"
"Most Rated Photos";"Most Rated Photos"
"Most Rated Quizzes";"Most Rated Quizzes"
"Most Rated Products";"Most Rated Products"
"RATE_LEVEL_RATE_PROFILE_ENABLED_TITLE";"Allow other members rate their profile?"
"RATE_LEVEL_RATE_PROFILE_ENABLED_DESCRIPTION";"Below you can manage other members allowed or not allowed to rate this level members profiles."
"RATE_LEVEL_RATE_PROFILE_ENABLED_YES";"Yes, members profiles rateable"
"RATE_LEVEL_RATE_PROFILE_ENABLED_NO";"No, members profiles not rateable"
"{item:$subject} rated {item:$object:$label}.";"{item:$subject} rated {item:$object:$label}."
